"","ctime","intertime","cwma","ratecat"
"1497",1397224800,900,1103.22580645161,"m"
"1498",1397225100,300,1068.38709677419,"m"
"1499",1397225100,0,1054.83870967742,"l"
"1500",1397225820,720,1039.35483870968,"m"
"1501",1397227800,1980,1064.51612903226,"h"
"1502",1397227920,120,1029.67741935484,"m"
"1503",1397229000,1080,1064.51612903226,"m"
"1504",1397229600,600,1081.93548387097,"m"
"1505",1397230200,600,1101.29032258065,"m"
"1506",1397230800,600,1089.67741935484,"m"
"1507",1397231100,300,1035.48387096774,"m"
"1508",1397231160,60,1018.06451612903,"m"
"1509",1397232000,840,929.032258064516,"m"
"1510",1397232780,780,950.322580645161,"m"
"1511",1397233080,300,927.096774193548,"m"
"1512",1397235600,2520,938.709677419355,"h"
"1513",1397235600,0,900,"l"
"1514",1397235600,0,859.354838709677,"l"
"1515",1397237400,1800,812.903225806452,"h"
"1516",1397239200,1800,841.935483870968,"h"
"1517",1397239200,0,812.903225806452,"l"
"1518",1397242800,3600,929.032258064516,"h"
"1519",1397242800,0,900,"l"
"1520",1397242800,0,841.935483870968,"l"
"1521",1397242800,0,838.064516129032,"l"
"1522",1397242800,0,812.903225806452,"l"
"1523",1397246400,3600,870.967741935484,"h"
"1524",1397248500,2100,822.58064516129,"h"
"1525",1397248800,300,832.258064516129,"m"
"1526",1397250000,1200,870.967741935484,"m"
"1527",1397250000,0,841.935483870968,"l"
"1528",1397250000,0,812.903225806452,"l"
"1529",1397251500,1500,851.612903225806,"h"
"1530",1397251800,300,861.290322580645,"m"
"1531",1397253600,1800,896.129032258065,"h"
"1532",1397253600,0,832.258064516129,"l"
"1533",1397255400,1800,886.451612903226,"h"
"1534",1397255400,0,851.612903225806,"l"
"1535",1397255400,0,832.258064516129,"l"
"1536",1397256300,900,841.935483870968,"m"
"1537",1397257200,900,851.612903225806,"m"
"1538",1397257200,0,841.935483870968,"l"
"1539",1397257200,0,840,"l"
"1540",1397257200,0,812.903225806452,"l"
"1541",1397258100,900,816.774193548387,"m"
"1542",1397259000,900,836.129032258065,"m"
"1543",1397260800,1800,812.903225806452,"h"
"1544",1397260800,0,812.903225806452,"l"
"1545",1397262600,1800,870.967741935484,"h"
"1546",1397264400,1800,870.967741935484,"h"
"1547",1397264400,0,812.903225806452,"l"
"1548",1397264400,0,812.903225806452,"l"
"1549",1397264400,0,696.774193548387,"l"
"1550",1397264400,0,696.774193548387,"l"
"1551",1397264400,0,696.774193548387,"l"
"1552",1397264400,0,696.774193548387,"l"
"1553",1397266200,1800,754.838709677419,"h"
"1554",1397267700,1500,687.096774193548,"h"
"1555",1397267760,60,621.290322580645,"m"
"1556",1397268000,240,619.354838709677,"m"
"1557",1397268000,0,580.645161290323,"l"
"1558",1397268000,0,580.645161290323,"l"
"1559",1397269800,1800,638.709677419355,"h"
"1560",1397269800,0,590.322580645161,"l"
"1561",1397269800,0,580.645161290323,"l"
"1562",1397269800,0,522.58064516129,"l"
"1563",1397269800,0,522.58064516129,"l"
"1564",1397269800,0,464.516129032258,"l"
"1565",1397269800,0,464.516129032258,"l"
"1566",1397271600,1800,522.58064516129,"h"
"1567",1397273160,1560,543.870967741935,"h"
"1568",1397273400,240,522.58064516129,"m"
"1569",1397273700,300,532.258064516129,"m"
"1570",1397274000,300,541.935483870968,"m"
"1571",1397275200,1200,580.645161290323,"m"
"1572",1397277000,1800,609.677419354839,"h"
"1573",1397278200,1200,619.354838709677,"m"
"1574",1397278860,660,582.58064516129,"m"
"1575",1397280300,1440,629.032258064516,"h"
"1576",1397280600,300,580.645161290323,"m"
"1577",1397280960,360,534.193548387097,"m"
"1578",1397281800,840,561.290322580645,"m"
"1579",1397282400,600,580.645161290323,"m"
"1580",1397282400,0,580.645161290323,"l"
"1581",1397282400,0,580.645161290323,"l"
"1582",1397282400,0,580.645161290323,"l"
"1583",1397282400,0,580.645161290323,"l"
"1584",1397282400,0,522.58064516129,"l"
"1585",1397282400,0,474.193548387097,"l"
"1586",1397282400,0,472.258064516129,"l"
"1587",1397282400,0,464.516129032258,"l"
"1588",1397282400,0,464.516129032258,"l"
"1589",1397282400,0,464.516129032258,"l"
"1590",1397284020,1620,458.709677419355,"h"
"1591",1397285820,1800,516.774193548387,"h"
"1592",1397286000,180,522.58064516129,"m"
"1593",1397286000,0,522.58064516129,"l"
"1594",1397287500,1500,570.967741935484,"h"
"1595",1397287680,180,576.774193548387,"m"
"1596",1397287800,120,580.645161290323,"m"
"1597",1397287800,0,522.58064516129,"l"
"1598",1397288580,780,497.41935483871,"m"
"1599",1397289300,720,512.903225806452,"m"
"1600",1397289600,300,512.903225806452,"m"
"1601",1397291400,1800,561.290322580645,"h"
"1602",1397292480,1080,557.41935483871,"m"
"1603",1397292600,120,503.225806451613,"m"
"1604",1397292780,180,470.322580645161,"m"
"1605",1397294700,1920,510.967741935484,"h"
"1606",1397294700,0,464.516129032258,"l"
"1607",1397296800,2100,522.58064516129,"h"
"1608",1397297880,1080,545.806451612903,"m"
"1609",1397298180,300,528.387096774194,"m"
"1610",1397298600,420,522.58064516129,"m"
"1611",1397298600,0,522.58064516129,"l"
"1612",1397299200,600,541.935483870968,"m"
"1613",1397300400,1200,580.645161290323,"m"
"1614",1397302200,1800,638.709677419355,"h"
"1615",1397302620,420,652.258064516129,"m"
"1616",1397307540,4920,810.967741935484,"h"
"1617",1397310300,2760,900,"h"
"1618",1397311200,900,929.032258064516,"m"
"1619",1397311200,0,929.032258064516,"l"
"1620",1397311200,0,929.032258064516,"l"
"1621",1397312100,900,905.806451612903,"m"
"1622",1397312880,780,872.903225806452,"m"
"1623",1397313000,120,870.967741935484,"m"
"1624",1397313600,600,890.322580645161,"m"
"1625",1397314800,1200,880.645161290323,"m"
"1626",1397315700,900,903.870967741935,"m"
"1627",1397316600,900,929.032258064516,"m"
"1628",1397316600,0,929.032258064516,"l"
"1629",1397318400,1800,961.935483870968,"h"
"1630",1397320380,1980,1002.58064516129,"h"
"1631",1397321700,1320,1035.48387096774,"h"
"1632",1397322000,300,987.096774193548,"m"
